TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2018,3,2,6,17,10XX ALBERNI ST,West End,491058.8169,5459123.086
Break and Enter Commercial,2018,6,16,18,0,10XX ALBERNI ST,West End,491102.2439,5459092.435
Break and Enter Commercial,2018,12,12,0,0,10XX BEACH AVE,West End,490227.2225,5458210.379
Break and Enter Commercial,2018,4,9,6,0,10XX BEACH AVE,Central Business District,490249.2307,5458166.833
Break and Enter Commercial,2018,10,2,18,31,10XX BEACH AVE,Central Business District,490258.683,5458154.503
Break and Enter Commercial,2018,2,17,15,0,10XX BEACH AVE,Central Business District,490268.432,5458142.577
Break and Enter Commercial,2018,5,16,17,0,10XX BOUNDARY RD,Hastings-Sunrise,498275.62,5458124.941
Break and Enter Commercial,2018,3,2,3,23,10XX BROUGHTON ST,West End,490263.0875,5459187.202
Break and Enter Commercial,2018,3,17,11,57,10XX BROUGHTON ST,West End,490263.0875,5459187.202
Break and Enter Commercial,2018,6,3,2,0,10XX BROUGHTON ST,West End,490272.5864,5459183.812
Break and Enter Commercial,2018,1,20,23,0,10XX BURNABY ST,West End,490423.586,5458504.006
Break and Enter Commercial,2018,2,28,18,0,10XX BURNABY ST,West End,490423.586,5458504.006
Break and Enter Commercial,2018,12,15,14,53,10XX BURNABY ST,West End,490439.9122,5458487.374
Break and Enter Commercial,2018,2,8,8,38,10XX BURRARD ST,West End,490729.6302,5458622.139
Break and Enter Commercial,2018,2,23,19,0,10XX BURRARD ST,West End,490729.6302,5458622.139
Break and Enter Commercial,2018,3,1,7,8,10XX BURRARD ST,West End,490729.6302,5458622.139
Break and Enter Commercial,2018,12,2,17,30,10XX BURRARD ST,Central Business District,490759.5183,5458639.443
Break and Enter Commercial,2018,12,4,17,0,10XX BURRARD ST,Central Business District,490759.5183,5458639.443
Break and Enter Commercial,2018,8,30,12,40,10XX CANADA PL,Central Business District,491519.3199,5459518.827
Break and Enter Commercial,2018,11,13,4,45,10XX COMMERCIAL DR,Grandview-Woodland,494937.5085,5458088.053
Break and Enter Commercial,2018,12,21,5,3,10XX COMMERCIAL DR,Grandview-Woodland,494937.5085,5458088.053
Break and Enter Commercial,2018,1,5,7,36,10XX COMMERCIAL DR,Grandview-Woodland,494946.6912,5458091.788
Break and Enter Commercial,2018,4,16,15,19,10XX COMMERCIAL DR,Grandview-Woodland,494946.7697,5458099.446
Break and Enter Commercial,2018,12,4,2,2,10XX DAVIE ST,West End,490467.1155,5458629.874
Break and Enter Commercial,2018,9,28,5,4,10XX DAVIE ST,West End,490488.9907,5458595.461
Break and Enter Commercial,2018,9,20,4,0,10XX DAVIE ST,West End,490528.6043,5458556.4
Break and Enter Commercial,2018,12,30,13,37,10XX DAVIE ST,West End,490546.3428,5458551.75
Break and Enter Commercial,2018,12,4,2,6,10XX DAVIE ST,West End,490552.0019,5458546.17
Break and Enter Commercial,2018,2,27,21,30,10XX DENMAN ST,West End,489825.3147,5459533.612
Break and Enter Commercial,2018,2,28,13,7,10XX DENMAN ST,West End,489825.3147,5459533.612
Break and Enter Commercial,2018,9,9,8,26,10XX DENMAN ST,West End,489880.7749,5459589.196
Break and Enter Commercial,2018,1,10,7,38,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.951
Break and Enter Commercial,2018,6,25,6,34,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.951
Break and Enter Commercial,2018,11,6,4,30,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.951
Break and Enter Commercial,2018,1,25,12,41,10XX E BROADWAY AVE,Mount Pleasant,493990.5245,5456637.968
Break and Enter Commercial,2018,3,14,9,25,10XX E BROADWAY AVE,Mount Pleasant,494074.1104,5456636.807
Break and Enter Commercial,2018,5,1,18,1,10XX E CORDOVA ST,Strathcona,494024.671,5458795.833
Break and Enter Commercial,2018,12,13,4,2,10XX GILFORD ST,West End,489791.3672,5459726.489
Break and Enter Commercial,2018,6,6,6,30,10XX GRANVILLE ST,Central Business District,490989.548,5458450.711
Break and Enter Commercial,2018,4,19,0,5,10XX GRANVILLE ST,Central Business District,491020.1578,5458468.929
Break and Enter Commercial,2018,7,25,5,31,10XX GRANVILLE ST,Central Business District,491020.1578,5458468.929
Break and Enter Commercial,2018,3,30,6,6,10XX GRANVILLE ST,Central Business District,491026.7515,5458488.748
Break and Enter Commercial,2018,3,9,17,30,10XX GREAT NORTHERN WAY,Strathcona,494050.6484,5456956.19
Break and Enter Commercial,2018,12,22,0,1,10XX HAMILTON ST,Central Business District,491263.5322,5458201.39
Break and Enter Commercial,2018,11,29,10,2,10XX HAMILTON ST,Central Business District,491294.0009,5458245.451
Break and Enter Commercial,2018,6,23,6,0,10XX HARWOOD ST,West End,490411.2998,5458361.205
Break and Enter Commercial,2018,12,19,6,47,10XX HOMER ST,Central Business District,491198.5704,5458233.834
Break and Enter Commercial,2018,1,15,4,0,10XX HOMER ST,Central Business District,491255.8833,5458279.181
Break and Enter Commercial,2018,4,3,17,0,10XX HOWE ST,Central Business District,490889.5958,5458482.858
Break and Enter Commercial,2018,4,25,14,24,10XX HOWE ST,Central Business District,490911.7414,5458505.492
Break and Enter Commercial,2018,1,10,5,1,10XX JERVIS ST,West End,490321.4744,5459033.607
Break and Enter Commercial,2018,2,2,17,0,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2018,6,28,4,21,10XX MAIN ST,Strathcona,492743.1954,5458088.01
Break and Enter Commercial,2018,2,9,4,30,10XX MAINLAND ST,Central Business District,491274.7256,5458134.037
Break and Enter Commercial,2018,11,12,4,56,10XX MAINLAND ST,Central Business District,491298.4643,5458171.831
Break and Enter Commercial,2018,3,14,6,0,10XX MAINLAND ST,Central Business District,491324.5391,5458185.7
Break and Enter Commercial,2018,4,24,16,0,10XX MAINLAND ST,Central Business District,491335.3681,5458196.931
Break and Enter Commercial,2018,8,14,14,46,10XX MARINASIDE CRES,Central Business District,491399.9852,5457863.314
Break and Enter Commercial,2018,3,4,12,5,10XX NELSON ST,West End,490766.889,5458782.464
Break and Enter Commercial,2018,4,16,19,0,10XX NELSON ST,West End,490766.889,5458782.464
Break and Enter Commercial,2018,7,26,0,0,10XX QUEBEC ST,Central Business District,492593.6078,5458043.686
Break and Enter Commercial,2018,9,18,22,0,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.231
Break and Enter Commercial,2018,7,23,2,53,10XX RICHARDS ST,Central Business District,491126.7883,5458305.487
Break and Enter Commercial,2018,11,8,23,56,10XX RICHARDS ST,Central Business District,491126.7883,5458305.487
Break and Enter Commercial,2018,11,15,2,46,10XX ROBSON ST,West End,490945.1763,5459083.573
Break and Enter Commercial,2018,2,3,3,50,10XX ROBSON ST,West End,491032.721,5458984.206
Break and Enter Commercial,2018,5,31,21,30,10XX ROBSON ST,West End,491049.8068,5458967.322
Break and Enter Commercial,2018,10,8,4,12,10XX ROBSON ST,West End,491058.2284,5458958.999
Break and Enter Commercial,2018,6,1,12,25,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2018,7,22,18,42,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
Break and Enter Commercial,2018,11,24,15,25,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
Break and Enter Commercial,2018,12,24,16,38,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
Break and Enter Commercial,2018,12,25,15,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
Break and Enter Commercial,2018,3,22,2,57,10XX SEYMOUR ST,Central Business District,491047.2183,5458361.255
Break and Enter Commercial,2018,10,28,20,31,10XX VERNON DR,Strathcona,494274.8317,5458072.287
Break and Enter Commercial,2018,4,14,7,0,10XX W 11TH AVE,Fairview,490727.6552,5456533.801
Break and Enter Commercial,2018,3,8,1,30,10XX W 13TH AVE,Fairview,490700.0641,5456333.19
Break and Enter Commercial,2018,1,18,22,32,10XX W 49TH AVE,Oakridge,490640.0853,5452653.631
Break and Enter Commercial,2018,10,9,19,0,10XX W 54TH AVE,Oakridge,490510.7065,5452099.37
Break and Enter Commercial,2018,2,14,1,0,10XX W 59TH AVE,Marpole,490501.3021,5451609.458
Break and Enter Commercial,2018,3,7,17,0,10XX W 7TH AVE,Fairview,490670.7991,5456948.105
Break and Enter Commercial,2018,8,17,4,17,10XX W BROADWAY AVE,Fairview,490645.9489,5456744.871
Break and Enter Commercial,2018,6,30,14,48,10XX W GEORGIA ST,Central Business District,491087.1035,5459191.555
Break and Enter Commercial,2018,4,19,0,0,10XX W GEORGIA ST,Central Business District,491115.4504,5459163.477
Break and Enter Commercial,2018,9,19,18,44,10XX W GEORGIA ST,Central Business District,491115.4504,5459163.477
Break and Enter Commercial,2018,11,14,18,0,10XX W GEORGIA ST,Central Business District,491115.4504,5459163.477
Break and Enter Commercial,2018,4,30,18,45,10XX W PENDER ST,Central Business District,491332.2968,5459374.751
Break and Enter Commercial,2018,7,3,1,30,10XX W WATERFRONT RD,Central Business District,491405.5255,5459578.48
Break and Enter Commercial,2018,9,18,23,0,11XX ALBERNI ST,West End,490986.55,5459207.894
Break and Enter Commercial,2018,11,24,7,2,11XX BROUGHTON ST,West End,490122.5859,5459046.071
Break and Enter Commercial,2018,10,3,23,4,11XX BURRARD ST,Central Business District,490718.6878,5458598.008
Break and Enter Commercial,2018,7,14,8,15,11XX CLARK DR,Strathcona,494372.8452,5458011.846
Break and Enter Commercial,2018,3,15,19,30,11XX COMMERCIAL DR,Grandview-Woodland,494945.3854,5457966.347
Break and Enter Commercial,2018,1,21,5,33,11XX COMOX ST,West End,490528.1436,5458866.593
Break and Enter Commercial,2018,6,9,5,53,11XX DAVIE ST,West End,490333.1503,5458766.303
